,song,placement,date,year,Percent Whole,hover
281,Savor,0.3181818181818182,27-09-1988,1988,31.82,31.82% into Show
282,Savor,0.35,28-09-1988,1988,35.0,35.0% into Show
283,Savor,0.3684210526315789,30-09-1988,1988,36.84,36.84% into Show
284,Savor,0.35,01-10-1988,1988,35.0,35.0% into Show
285,Savor,0.35294117647058826,02-10-1988,1988,35.29,35.29% into Show
286,Savor,0.625,04-10-1988,1988,62.5,62.5% into Show
287,Savor,0.35,06-10-1988,1988,35.0,35.0% into Show
288,Savor,0.35,07-10-1988,1988,35.0,35.0% into Show
289,Savor,0.3888888888888889,08-10-1988,1988,38.89,38.89% into Show
290,Savor,0.35,12-10-1988,1988,35.0,35.0% into Show
291,Savor,0.35,13-10-1988,1988,35.0,35.0% into Show
292,Savor,0.4117647058823529,14-10-1988,1988,41.18,41.18% into Show
293,Savor,0.35,15-10-1988,1988,35.0,35.0% into Show
294,Savor,0.35,16-10-1988,1988,35.0,35.0% into Show
295,Savor,0.35294117647058826,05-11-1988,1988,35.29,35.29% into Show
296,Savor,0.35,23-11-1988,1988,35.0,35.0% into Show
297,Savor,0.3888888888888889,25-11-1988,1988,38.89,38.89% into Show
298,Savor,0.3888888888888889,26-11-1988,1988,38.89,38.89% into Show
299,Savor,0.25,10-12-1988,1988,25.0,25.0% into Show
300,Savor,0.4375,14-04-1989,1989,43.75,43.75% into Show
301,Savor,0.3333333333333333,04-05-1989,1989,33.33,33.33% into Show
302,Savor,0.28,05-05-1989,1989,28.0,28.0% into Show
303,Savor,0.2916666666666667,06-05-1989,1989,29.17,29.17% into Show
304,Savor,0.28,08-05-1989,1989,28.0,28.0% into Show
305,Savor,0.2692307692307692,09-05-1989,1989,26.92,26.92% into Show
306,Savor,0.32,11-05-1989,1989,32.0,32.0% into Show
307,Savor,0.30434782608695654,15-05-1989,1989,30.43,30.43% into Show
308,Savor,0.32,16-05-1989,1989,32.0,32.0% into Show
309,Savor,0.3684210526315789,20-05-1989,1989,36.84,36.84% into Show
310,Savor,0.08333333333333333,25-06-1989,1989,8.33,8.33% into Show
311,Savor,0.2916666666666667,26-06-1989,1989,29.17,29.17% into Show
312,Savor,0.4375,03-07-1989,1989,43.75,43.75% into Show
313,Savor,0.7777777777777778,05-07-1989,1989,77.78,77.78% into Show
314,Savor,0.25925925925925924,17-07-1989,1989,25.93,25.93% into Show
315,Savor,0.3333333333333333,18-07-1989,1989,33.33,33.33% into Show
316,Savor,0.3684210526315789,19-07-1989,1989,36.84,36.84% into Show
317,Savor,0.47058823529411764,21-07-1989,1989,47.06,47.06% into Show
318,Savor,0.42105263157894735,23-07-1989,1989,42.11,42.11% into Show
319,Savor,0.3684210526315789,24-07-1989,1989,36.84,36.84% into Show
320,Savor,0.4,27-07-1989,1989,40.0,40.0% into Show
321,Savor,0.3181818181818182,01-09-1989,1989,31.82,31.82% into Show
322,Savor,0.8571428571428571,13-09-1989,1989,85.71,85.71% into Show
323,Savor,0.88,14-09-1989,1989,88.0,88.0% into Show
324,Savor,0.782608695652174,15-09-1989,1989,78.26,78.26% into Show
325,Savor,0.42105263157894735,16-09-1989,1989,42.11,42.11% into Show
326,Savor,0.5294117647058824,20-09-1989,1989,52.94,52.94% into Show
327,Savor,0.29411764705882354,26-11-1989,1989,29.41,29.41% into Show
328,Savor,0.4782608695652174,17-04-1990,1990,47.83,47.83% into Show
329,Savor,0.4782608695652174,18-04-1990,1990,47.83,47.83% into Show
330,Savor,0.5,19-04-1990,1990,50.0,50.0% into Show
331,Savor,0.5238095238095238,21-04-1990,1990,52.38,52.38% into Show
332,Savor,0.5217391304347826,23-04-1990,1990,52.17,52.17% into Show
333,Savor,0.5454545454545454,24-04-1990,1990,54.55,54.55% into Show
334,Savor,0.5454545454545454,25-04-1990,1990,54.55,54.55% into Show
335,Savor,0.5454545454545454,27-04-1990,1990,54.55,54.55% into Show
336,Savor,0.5789473684210527,28-04-1990,1990,57.89,57.89% into Show
337,Savor,0.5263157894736842,26-05-1990,1990,52.63,52.63% into Show
338,Savor,0.5714285714285714,29-05-1990,1990,57.14,57.14% into Show
339,Savor,0.48,31-05-1990,1990,48.0,48.0% into Show
340,Savor,0.625,01-06-1990,1990,62.5,62.5% into Show
341,Savor,0.7,03-06-1990,1990,70.0,70.0% into Show
342,Savor,0.5,06-06-1990,1990,50.0,50.0% into Show
343,Savor,0.5238095238095238,07-06-1990,1990,52.38,52.38% into Show
344,Savor,0.38095238095238093,13-06-1990,1990,38.1,38.1% into Show
345,Savor,0.45454545454545453,15-06-1990,1990,45.45,45.45% into Show
346,Savor,0.42105263157894735,20-06-1990,1990,42.11,42.11% into Show
347,Savor,0.4,25-06-1990,1990,40.0,40.0% into Show
